03/07/2017 14:20:56 Button clicked: Btn 1
03/07/2017 14:20:56 Button clicked: Btn 2
03/07/2017 14:20:57 Button clicked: Btn 3
03/07/2017 14:20:58 Button clicked: Btn 4
03/07/2017 14:20:58 Button clicked: Btn 5
08/07/2017 13:02:49 : STREAM b'pHYs' 119 9
08/07/2017 13:02:49 : STREAM b'tIME' 140 7
08/07/2017 13:02:49 : b'tIME' 140 7 (unknown)
08/07/2017 13:02:49 : STREAM b'IDAT' 159 1462
08/07/2017 13:02:49 : STREAM b'IHDR' 16 13
08/07/2017 13:02:49 : STREAM b'gAMA' 41 4
08/07/2017 13:02:49 : STREAM b'cHRM' 57 32
08/07/2017 13:02:49 : b'cHRM' 57 32 (unknown)
08/07/2017 13:02:49 : STREAM b'bKGD' 101 6
08/07/2017 13:02:49 : b'bKGD' 101 6 (unknown)
08/07/2017 13:02:49 : STREAM b'pHYs' 119 9
08/07/2017 13:02:49 : STREAM b'tIME' 140 7
08/07/2017 13:02:49 : b'tIME' 140 7 (unknown)
08/07/2017 13:02:49 : STREAM b'IDAT' 159 1462
08/07/2017 13:02:50 : callback 1
08/07/2017 13:02:51 : callback 2
08/07/2017 13:02:52 : callback 2
08/07/2017 13:02:53 : callback 2
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 101 9
08/07/2017 13:06:00 : STREAM b'iTXt' 122 345
08/07/2017 13:06:00 : STREAM b'IDAT' 479 16384
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'bKGD' 101 6
08/07/2017 13:06:00 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 119 9
08/07/2017 13:06:00 : STREAM b'tIME' 140 7
08/07/2017 13:06:00 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:00 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'bKGD' 101 6
08/07/2017 13:06:00 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 119 9
08/07/2017 13:06:00 : STREAM b'tIME' 140 7
08/07/2017 13:06:00 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:00 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'bKGD' 101 6
08/07/2017 13:06:00 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 119 9
08/07/2017 13:06:00 : STREAM b'tIME' 140 7
08/07/2017 13:06:00 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:00 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'bKGD' 101 6
08/07/2017 13:06:00 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 119 9
08/07/2017 13:06:00 : STREAM b'tIME' 140 7
08/07/2017 13:06:00 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:00 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:00 : STREAM b'IHDR' 16 13
08/07/2017 13:06:00 : STREAM b'gAMA' 41 4
08/07/2017 13:06:00 : STREAM b'cHRM' 57 32
08/07/2017 13:06:00 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:00 : STREAM b'bKGD' 101 6
08/07/2017 13:06:00 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:00 : STREAM b'pHYs' 119 9
08/07/2017 13:06:00 : STREAM b'tIME' 140 7
08/07/2017 13:06:00 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:00 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:02 : callback 2
08/07/2017 13:06:02 : STREAM b'IHDR' 16 13
08/07/2017 13:06:02 : STREAM b'gAMA' 41 4
08/07/2017 13:06:02 : STREAM b'cHRM' 57 32
08/07/2017 13:06:02 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:02 : STREAM b'bKGD' 101 6
08/07/2017 13:06:02 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:02 : STREAM b'pHYs' 119 9
08/07/2017 13:06:02 : STREAM b'tIME' 140 7
08/07/2017 13:06:02 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:02 : STREAM b'IDAT' 159 1466
08/07/2017 13:06:02 : STREAM b'IHDR' 16 13
08/07/2017 13:06:02 : STREAM b'gAMA' 41 4
08/07/2017 13:06:02 : STREAM b'cHRM' 57 32
08/07/2017 13:06:02 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:02 : STREAM b'bKGD' 101 6
08/07/2017 13:06:02 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:02 : STREAM b'pHYs' 119 9
08/07/2017 13:06:02 : STREAM b'tIME' 140 7
08/07/2017 13:06:02 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:02 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:03 : callback 2
08/07/2017 13:06:03 : STREAM b'IHDR' 16 13
08/07/2017 13:06:03 : STREAM b'gAMA' 41 4
08/07/2017 13:06:03 : STREAM b'cHRM' 57 32
08/07/2017 13:06:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:03 : STREAM b'bKGD' 101 6
08/07/2017 13:06:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:03 : STREAM b'pHYs' 119 9
08/07/2017 13:06:03 : STREAM b'tIME' 140 7
08/07/2017 13:06:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:03 : STREAM b'IDAT' 159 1466
08/07/2017 13:06:03 : STREAM b'IHDR' 16 13
08/07/2017 13:06:03 : STREAM b'gAMA' 41 4
08/07/2017 13:06:03 : STREAM b'cHRM' 57 32
08/07/2017 13:06:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:03 : STREAM b'bKGD' 101 6
08/07/2017 13:06:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:03 : STREAM b'pHYs' 119 9
08/07/2017 13:06:03 : STREAM b'tIME' 140 7
08/07/2017 13:06:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:03 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:03 : callback 2
08/07/2017 13:06:03 : STREAM b'IHDR' 16 13
08/07/2017 13:06:03 : STREAM b'gAMA' 41 4
08/07/2017 13:06:03 : STREAM b'cHRM' 57 32
08/07/2017 13:06:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:03 : STREAM b'bKGD' 101 6
08/07/2017 13:06:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:03 : STREAM b'pHYs' 119 9
08/07/2017 13:06:03 : STREAM b'tIME' 140 7
08/07/2017 13:06:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:03 : STREAM b'IDAT' 159 1466
08/07/2017 13:06:03 : STREAM b'IHDR' 16 13
08/07/2017 13:06:03 : STREAM b'gAMA' 41 4
08/07/2017 13:06:03 : STREAM b'cHRM' 57 32
08/07/2017 13:06:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:03 : STREAM b'bKGD' 101 6
08/07/2017 13:06:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:03 : STREAM b'pHYs' 119 9
08/07/2017 13:06:03 : STREAM b'tIME' 140 7
08/07/2017 13:06:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:03 : STREAM b'IDAT' 159 1462
08/07/2017 13:06:04 : callback 3
08/07/2017 13:06:04 : STREAM b'IHDR' 16 13
08/07/2017 13:06:04 : STREAM b'gAMA' 41 4
08/07/2017 13:06:04 : STREAM b'cHRM' 57 32
08/07/2017 13:06:04 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:04 : STREAM b'bKGD' 101 6
08/07/2017 13:06:04 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:04 : STREAM b'pHYs' 119 9
08/07/2017 13:06:04 : STREAM b'tIME' 140 7
08/07/2017 13:06:04 : b'tIME' 140 7 (unknown)
08/07/2017 13:06:04 : STREAM b'IDAT' 159 1466
08/07/2017 13:06:04 : STREAM b'IHDR' 16 13
08/07/2017 13:06:04 : STREAM b'gAMA' 41 4
08/07/2017 13:06:04 : STREAM b'cHRM' 57 32
08/07/2017 13:06:04 : b'cHRM' 57 32 (unknown)
08/07/2017 13:06:04 : STREAM b'bKGD' 101 6
08/07/2017 13:06:04 : b'bKGD' 101 6 (unknown)
08/07/2017 13:06:04 : STREAM b'pHYs' 119 9
08/07/2017 13:06:04 : STREAM b'tIME' 140 7
08/07/2017 13:06:04 : b'tIME' 140 7 (unknown)
